Ano,NomeUF,NomeMunicipio,Impostos,PIB,Populacao,PIBperCapita
2011,São Paulo,Guarujá,618535839,4993329796,292744,17056.98
2011,São Paulo,Guarulhos,6694276.102000001,39082623.9,1233436,
2011,São Paulo,Guatapará,6385165,121413125,7012,17315.05
2011,São Paulo,Guzolândia,1780.1989999999998,51233943,4790,10696.02
2011,São Paulo,Herculândia,9493496,141466595,8751,16165.76
2011,São Paulo,Holambra,40558.32,439349555,11613,37832.56
2011,São Paulo,Hortolândia,1683926741,9108278999,195776,46523.98
2011,São Paulo,Iacanga,27960347,267655.38800000004,10146,26380.39
2011,São Paulo,Iacri,2609.0370000000003,98900.24,6392,15472.5
2011,São Paulo,Iaras,3975325,71571025,6631,10793.4
2011,São Paulo,Ibaté,44538958,516085.92299999995,31062,16614.7
2011,São Paulo,Ibirá,6542.8,130378487,11008,11843.98
2011,São Paulo,Ibirarema,11890575,155762.37,6804,22892.76
2011,São Paulo,Ibitinga,93202.7,975236036,53660,18174.36
2011,São Paulo,Ibiúna,74244265,880025571,71742,12266.53
2011,São Paulo,Icém,3580033,113743757,7515,15135.56
2011,São Paulo,Iepê,3599435,119340099,7657,15585.75
2011,São Paulo,Igaraçu do Tietê,12835.443000000001,200986504,23420,8581.83
2011,São Paulo,Igarapava,46881922,579025449,28108,20600.02
2011,São Paulo,Igaratá,13391.266000000001,114772335,8873,12935.01
2011,São Paulo,Iguape,15976313,835028.2590000001,28950,
2011,São Paulo,Ilhabela,29450.433999999997,829567338,28761,28843.48
2011,São Paulo,Ilha Comprida,3477.7529999999997,92753164,9204,10077.48
2011,São Paulo,Ilha Solteira,23059.58,387160.01200000005,25146,15396.49
2011,São Paulo,Indaiatuba,1700980.7880000002,8136871123,205808,39536.22
2011,São Paulo,Indiana,1828925,41524832,4817,8620.48
2011,São Paulo,Indiaporã,984.7739999999999,48505863,3892,12462.97
2011,São Paulo,Inúbia Paulista,10836155,84808118,3654,23209.67
2011,São Paulo,Ipaussu,21051.56,217788.11800000002,13749,15840.29
2011,São Paulo,Iperó,52066752,385472.83,29062,13263.81
2011,São Paulo,Ipeúna,19974189,183409461,6145,29846.94
2011,São Paulo,Ipiguá,2995.29,47737302,4539,10517.14
2011,São Paulo,Iporanga,663.9110000000001,25699147,4279,6005.88
2011,São Paulo,Ipuã,17317.093999999997,264173691,14323,18444.02
2011,São Paulo,Iracemápolis,62233.022000000004,451851.64200000005,20373,22178.94
2011,São Paulo,Irapuã,2025.4379999999999,80797.23700000001,7323,11033.35
2011,São Paulo,Irapuru,1945858,72048.0,7815,9219.19
2011,São Paulo,Itaberá,1072424,189514.63100000002,17778,10660.06
2011,São Paulo,Itaí,19430.01,342608468,24236,14136.35
2011,São Paulo,Itajobi,12665737,256457.59600000002,14582,17587.27
2011,São Paulo,Itaju,2196902,60481988,3293,18366.84
2011,São Paulo,Itanhaém,68896785,960414.88,88214,
2011,São Paulo,Itaóca,984123,24562516,3229,7606.85
2011,São Paulo,Itapecerica da Serra,321183604,2598925.9269999997,154374,16835.26
2011,São Paulo,Itapetininga,286465553,2976883.64,145822,20414.5
2011,São Paulo,Itapeva,109733006,1328120048,88129,15070.18
2011,São Paulo,Itapevi,1025636875,5916311.802999999,203712,29042.53
2011,São Paulo,Itapira,293695685,2177231.7369999997,68934,31584.29
2011,São Paulo,Itapirapuã Paulista,520625,21808.977000000003,3904,5586.32
2011,São Paulo,Itápolis,101245.67199999999,1043623.7390000001,40228,25942.72
2011,São Paulo,Itaporanga,3786.7540000000004,121952.1,14564,8373.53
2011,São Paulo,Itapuí,47270528,354713494,12312,28810.39
2011,São Paulo,Itapura,953.3489999999999,82104235,4397,18672.78
2011,São Paulo,Itaquaquecetuba,468874559,3688565242,325518,11331.37
2011,São Paulo,Itararé,41326495,534166.57,48040,11119.2
2011,São Paulo,Itariri,4823.967000000001,117398366,15614,7518.79
2011,São Paulo,Itatiba,632122.8670000001,3796002521,103028,36844.38
2011,São Paulo,Itatinga,14365706,201703157,18253,11050.41
2011,São Paulo,Itirapina,45522075,317486.75899999996,15731,20182.24
2011,São Paulo,Itirapuã,1213.1680000000001,46408245,5953,7795.77
2011,São Paulo,Itobi,2339635,62236.76,7553,8240.01
2011,São Paulo,Itu,875946.34,5603645.992000001,155589,36015.7
2011,São Paulo,Itupeva,530498709,2460665.8340000003,46294,53153.02
2011,São Paulo,Ituverava,59438511,741101441,38882,19060.27
2011,São Paulo,Jaborandi,3493272,96940.56800000001,6605,14676.85
2011,São Paulo,Jaboticabal,183291.02899999998,1857527.5980000002,71989,
2011,São Paulo,Jacareí,1380070.6519999998,7323539929,212744,34424.19
2011,São Paulo,Jaci,34992.818999999996,279160458,5776,48331.1
2011,São Paulo,Jacupiranga,15550.846000000001,246788435,17221,14330.67
2011,São Paulo,Jaguariúna,1121733063,4290062556,45441,94409.51
2011,São Paulo,Jales,66978.06599999999,806832.6329999999,47076,17138.94
2011,São Paulo,Jambeiro,41428102,226602353,5454,41547.92
2011,São Paulo,Jandira,419599523,2240428788,109614,20439.26
2011,São Paulo,Jardinópolis,52173959,575474.7239999999,38194,15067.15
2011,São Paulo,Jarinu,79059543,622923128,24370,25561.06
2011,São Paulo,Jaú,344923201,2969052683,132494,22408.96
2011,São Paulo,Jeriquara,338588,41708696,3151,13236.65
2011,São Paulo,Joanópolis,6500379,115970.93,11873,9767.62
2011,São Paulo,João Ramalho,2238813,107908954,4174,25852.65
2011,São Paulo,José Bonifácio,64223942,735941038,33074,22251.35
2011,São Paulo,Júlio Mesquita,1047.2830000000001,35371716,4451,7946.91
2011,São Paulo,Jumirim,6883925,53411824,2845,18773.93
2011,São Paulo,Jundiaí,5004483948,26571865.088000003,373713,71102.33
2011,São Paulo,Junqueirópolis,36487184,319585213,18859,16946.03
2011,São Paulo,Juquiá,10469875,194984.38199999998,19149,10182.48
2011,São Paulo,Juquitiba,35274.138999999996,327640.09,28912,11332.32
2011,São Paulo,Lagoinha,1557227,35865324,4833,
2011,São Paulo,Laranjal Paulista,80984.13900000001,614957.54,25490,24125.44
2011,São Paulo,Lavínia,2781137,123107065,9060,13587.98
2011,São Paulo,Lavrinhas,9635674,82387.37299999999,6635,12417.09
2011,São Paulo,Leme,223175445,1889032029,92601,20399.69
2011,São Paulo,Lençóis Paulista,206540.65399999998,1783348086,61919,28801.31
2011,São Paulo,Limeira,1257542561,8630368675,278093,31034.11
2011,São Paulo,Lindóia,7072.763000000001,81241401,6814,11922.72
2011,São Paulo,Lins,259747526,2407052.4069999997,71853,33499.68
2011,São Paulo,Lorena,167242475,1439346935,82887,17365.17
2011,São Paulo,Lourdes,473.49699999999996,29384571,2138,13743.95
2011,São Paulo,Louveira,1371311178,7033502.981000001,38140,184412.77
2011,São Paulo,Lucélia,24004444,283425558,20003,14169.15
2011,São Paulo,Lucianópolis,715932,26429783,2257,11710.14
2011,São Paulo,Luís Antônio,116279.83099999999,878059684,11603,75675.23
2011,São Paulo,Luiziânia,1221221,45494989,5089,8939.87
2011,São Paulo,Lupércio,274178,37310009,4363,8551.46
2011,São Paulo,Lutécia,885.9989999999999,46726419,2700,17306.08
2011,São Paulo,Macatuba,20796049,289791262,16298,17780.79
2011,São Paulo,Macaubal,5502245,103350005,7685,13448.28
2011,São Paulo,Macedônia,1825921,42914597,3657,11734.92
2011,São Paulo,Magda,2370019,67263664,3184,21125.52
2011,São Paulo,Mairinque,267356773,1409673.1530000002,43473,32426.41
2011,São Paulo,Mairiporã,162584527,1235284004,82556,14962.98
2011,São Paulo,Manduri,7363.88,88310.58300000001,9048,9760.23
2011,São Paulo,Marabá Paulista,4282839,113155.05900000001,4898,
2011,São Paulo,Maracaí,51958.562999999995,454602586,13358,34032.23
2011,São Paulo,Marapoama,10179519,100301804,2664,37650.83
