Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao,PIBperCapita
2010,São Paulo,Igarapava,Ribeirão Preto,41100494,506755.79,27960,18124.31
2010,São Paulo,Igaratá,Vale do Paraíba Paulista,11259.596000000001,98324079,8825,11141.54
2010,São Paulo,Iguape,Litoral Sul Paulista,11177607,269465756,28844,9342.18
2010,São Paulo,Ilhabela,Vale do Paraíba Paulista,22625849,372951927,28176,13236.51
2010,São Paulo,Ilha Comprida,Litoral Sul Paulista,3271.3340000000003,87401.94099999999,9027,9682.28
2010,São Paulo,Ilha Solteira,Araçatuba,18342355,325536.64,25071,12984.59
2010,São Paulo,Indaiatuba,Campinas,1573670043,7651291806,201848,37906.21
2010,São Paulo,Indiana,Presidente Prudente,1585425,39775833,4828,8238.57
2010,São Paulo,Indiaporã,São José do Rio Preto,1105443,48933.039000000004,3906,12527.66
2010,São Paulo,Inúbia Paulista,Presidente Prudente,8681.91,77988.45599999999,3630,21484.42
2010,São Paulo,Ipaussu,Assis,20212324,230949187,13746,16801.19
2010,São Paulo,Iperó,Macro Metropolitana Paulista,46000176,331073561,28301,11698.3
2010,São Paulo,Ipeúna,Piracicaba,24009.257999999998,200670.42899999997,6016,33356.12
2010,São Paulo,Ipiguá,São José do Rio Preto,2844478,51779.924000000006,4459,11612.45
2010,São Paulo,Iporanga,Itapetininga,727291,23714.543999999998,4302,5512.45
2010,São Paulo,Ipuã,Ribeirão Preto,12568.57,208808.70899999997,14146,14760.97
2010,São Paulo,Iracemápolis,Piracicaba,53361498,381531305,20047,19031.84
2010,São Paulo,Irapuã,São José do Rio Preto,1806506,73949746,7284,10152.35
2010,São Paulo,Irapuru,Presidente Prudente,1624307,66006178,7787,8476.46
2010,São Paulo,Itaberá,Itapetininga,-15088399,199839.50699999998,17861,11188.6
2010,São Paulo,Itaí,Bauru,15966841,308173993,24015,12832.56
2010,São Paulo,Itajobi,São José do Rio Preto,11410579,240782.43899999998,14553,16545.21
2010,São Paulo,Itaju,Bauru,1682.2,47220746,3263,14471.57
2010,São Paulo,Itanhaém,Litoral Sul Paulista,62724837,869872.9809999999,87053,9992.45
2010,São Paulo,Itaóca,Itapetininga,665.1519999999999,18787.7,3228,5820.23
2010,São Paulo,Itapecerica da Serra,Metropolitana de São Paulo,289146.82,2366613142,152380,15531.0
2010,São Paulo,Itapetininga,Itapetininga,249186456,2574006514,144416,17823.55
2010,São Paulo,Itapeva,Itapetininga,80115.65400000001,1175016563,87765,13388.21
2010,São Paulo,Itapevi,Metropolitana de São Paulo,866363582,5220158206,200874,25987.23
2010,São Paulo,Itapira,Campinas,265316.93100000004,1924254299,68365,28146.78
2010,São Paulo,Itapirapuã Paulista,Itapetininga,418806,19686.186999999998,3884,5068.53
2010,São Paulo,Itápolis,Araraquara,79125965,850559.8420000001,40064,21230.03
2010,São Paulo,Itaporanga,Itapetininga,1603844,107650.46800000001,14546,7400.69
2010,São Paulo,Itapuí,Bauru,43042918,298927536,12181,24540.48
2010,São Paulo,Itapura,Araçatuba,747.9739999999999,56900828,4360,13050.65
2010,São Paulo,Itaquaquecetuba,Metropolitana de São Paulo,416628.47799999994,3222392085,321854,10011.97
2010,São Paulo,Itararé,Itapetininga,31690789,487568165,47939,10170.6
2010,São Paulo,Itariri,Litoral Sul Paulista,3341434,108959472,15471,7042.82
2010,São Paulo,Itatiba,Macro Metropolitana Paulista,570735684,3394630.37,101450,33461.12
2010,São Paulo,Itatinga,Bauru,12756.833999999999,182572738,18052,10113.71
2010,São Paulo,Itirapina,Piracicaba,46026302,339110485,15528,21838.65
2010,São Paulo,Itirapuã,Ribeirão Preto,191313,44491.35400000001,5914,7523.06
2010,São Paulo,Itobi,Campinas,1154735,53999393,7545,7156.98
2010,São Paulo,Itu,Macro Metropolitana Paulista,794959145,4633757086,154200,30050.31
2010,São Paulo,Itupeva,Macro Metropolitana Paulista,482742.51399999997,2304035694,44825,51400.68
2010,São Paulo,Ituverava,Ribeirão Preto,48705.46599999999,629151.84,38699,16257.57
2010,São Paulo,Jaborandi,Ribeirão Preto,2997578,105625211,6592,16023.24
2010,São Paulo,Jaboticabal,Ribeirão Preto,169250578,1637690.4980000001,71667,22851.39
2010,São Paulo,Jacareí,Vale do Paraíba Paulista,1277102515,6682818.5770000005,211308,31625.96
2010,São Paulo,Jaci,São José do Rio Preto,31547937,246362302,5657,43549.99
2010,São Paulo,Jacupiranga,Litoral Sul Paulista,13118173,274929841,17196,15988.01
2010,São Paulo,Jaguariúna,Campinas,1028998.49,4104912586,44331,92596.89
2010,São Paulo,Jales,São José do Rio Preto,58820267,748344.64,47012,15918.16
2010,São Paulo,Jambeiro,Vale do Paraíba Paulista,39833032,203379849,5350,38014.93
2010,São Paulo,Jandira,Metropolitana de São Paulo,374863.24,2049050.4309999999,108436,18896.4
2010,São Paulo,Jardinópolis,Ribeirão Preto,44570.399000000005,521470981,37725,13822.96
2010,São Paulo,Jarinu,Macro Metropolitana Paulista,66347595,496629597,23827,20843.14
2010,São Paulo,Jaú,Bauru,306300.16,2548015744,131068,19440.41
2010,São Paulo,Jeriquara,Ribeirão Preto,-466972,45614862,3168,14398.63
2010,São Paulo,Joanópolis,Macro Metropolitana Paulista,5406.26,103223.04699999999,11771,8769.27
2010,São Paulo,João Ramalho,Presidente Prudente,1814.0320000000002,87283.19699999999,4138,21093.09
2010,São Paulo,José Bonifácio,São José do Rio Preto,54136933,636119478,32774,19409.27
2010,São Paulo,Júlio Mesquita,Bauru,772623,30278.64,4430,6834.91
2010,São Paulo,Jumirim,Piracicaba,5862444,43549082,2801,15547.69
2010,São Paulo,Jundiaí,Macro Metropolitana Paulista,4268343.271000001,23155495478,370251,62539.99
2010,São Paulo,Junqueirópolis,Presidente Prudente,33220552,320339.01,18726,17106.64
2010,São Paulo,Juquiá,Litoral Sul Paulista,9649555,216173.27399999998,19269,11218.71
2010,São Paulo,Juquitiba,Metropolitana de São Paulo,29342.49,299824.19899999996,28732,10435.2
2010,São Paulo,Lagoinha,Vale do Paraíba Paulista,1278.91,40067.92,4840,8278.5
2010,São Paulo,Laranjal Paulista,Itapetininga,73668069,558347.84,25246,22116.29
2010,São Paulo,Lavínia,Araçatuba,2379556,96044875,8782,10936.56
