Ano,NomeUF,NomeMunicipio,NomeMeso,Impostos,PIB,Populacao
2012,São Paulo,Carapicuíba,Metropolitana de São Paulo,331923719,3772659.4960000003,373358
2012,São Paulo,Cardoso,São José do Rio Preto,5281749,167427568,11836
2012,São Paulo,Casa Branca,Campinas,32452748,483338464,28535
2012,São Paulo,Cássia dos Coqueiros,Ribeirão Preto,421665,79930825,2599
2012,São Paulo,Castilho,Araçatuba,29986514,424375.50399999996,18465
2012,São Paulo,Catanduva,São José do Rio Preto,348399901,3148658893,113873
2012,São Paulo,Catiguá,São José do Rio Preto,6249375,97587704,7214
2012,São Paulo,Cedral,São José do Rio Preto,21738002,187653.49399999998,8165
2012,São Paulo,Cerqueira César,Bauru,32279.793999999998,418160006,17893
2012,São Paulo,Cerquilho,Itapetininga,191801301,1397960029,41144
2012,São Paulo,Cesário Lange,Itapetininga,27153509,246298.21300000002,15942
2012,São Paulo,Charqueada,Piracicaba,23276.247000000003,238245592,15395
2012,São Paulo,Clementina,Araçatuba,4668657,85099587,7316
2012,São Paulo,Colina,Ribeirão Preto,90293.50099999999,637479174,17478
2012,São Paulo,Colômbia,Ribeirão Preto,16348758,216595104,6001
2012,São Paulo,Conchal,Piracicaba,36508955,422738375,25615
2012,São Paulo,Conchas,Bauru,16698964,253746.99300000002,16497
2012,São Paulo,Cordeirópolis,Piracicaba,168245872,1540029.4730000002,21607
2012,São Paulo,Coroados,Araçatuba,3923755,98968595,5362
2012,São Paulo,Coronel Macedo,Itapetininga,-737698,55695.937000000005,4913
2012,São Paulo,Corumbataí,Piracicaba,9158939,83597272,3887
2012,São Paulo,Cosmópolis,Campinas,99055635,1019715928,61013
2012,São Paulo,Cosmorama,São José do Rio Preto,24588416,213789.99899999998,7191
2012,São Paulo,Cotia,Metropolitana de São Paulo,1766195733,8639952218,209027
2012,São Paulo,Cravinhos,Ribeirão Preto,111118.54800000001,785898343,32187
2012,São Paulo,Cristais Paulista,Ribeirão Preto,288843,162804857,7741
2012,São Paulo,Cruzália,Assis,-396537,48931.77,2224
2012,São Paulo,Cruzeiro,Vale do Paraíba Paulista,200596371,1546554.9919999999,77575
2012,São Paulo,Cubatão,Metropolitana de São Paulo,1904619874,5994536597,120293
2012,São Paulo,Cunha,Vale do Paraíba Paulista,4494253,139957108,21682
2012,São Paulo,Descalvado,Araraquara,122109005,937410932,31379
2012,São Paulo,Diadema,Metropolitana de São Paulo,2250479897,11998286445,390980
2012,São Paulo,Dirce Reis,São José do Rio Preto,4308345,34639.28,1699
2012,São Paulo,Divinolândia,Campinas,4997499,183613872,11086
2012,São Paulo,Dobrada,Araraquara,3181755,64937.2,8080
2012,São Paulo,Dois Córregos,Bauru,43828.439000000006,537004011,25100
2012,São Paulo,Dolcinópolis,São José do Rio Preto,847898,28391741,2088
2012,São Paulo,Dourado,Araraquara,34068331,225052.86399999997,8610
2012,São Paulo,Dracena,Presidente Prudente,81558652,865105391,43675
2012,São Paulo,Duartina,Bauru,10307093,156798.58,12218
2012,São Paulo,Dumont,Ribeirão Preto,11751997,145049173,8421
2012,São Paulo,Echaporã,Marília,2804185,94301.99,6242
2012,São Paulo,Eldorado,Litoral Sul Paulista,5227726,213927803,14718
2012,São Paulo,Elias Fausto,Campinas,59886197,426684376,16060
2012,São Paulo,Elisiário,São José do Rio Preto,2278428,50655.662000000004,3202
2012,São Paulo,Embaúba,São José do Rio Preto,799.53,33465301,2415
2012,São Paulo,Embu das Artes,Metropolitana de São Paulo,930747959,5940470234,245148
2012,São Paulo,Embu-Guaçu,Metropolitana de São Paulo,105615945,763569165,63653
2012,São Paulo,Emilianópolis,Presidente Prudente,1234178,41731.736000000004,3040
2012,São Paulo,Engenheiro Coelho,Campinas,41384676,361187939,16580
2012,São Paulo,Espírito Santo do Pinhal,Campinas,93002789,1099923.3229999999,42123
2012,São Paulo,Espírito Santo do Turvo,Assis,6688.706999999999,70698223,4330
2012,São Paulo,Estrela d'Oeste,São José do Rio Preto,38363546,364296294,8201
2012,São Paulo,Estrela do Norte,Presidente Prudente,1144223,42301.15,2663
2012,São Paulo,Euclides da Cunha Paulista,Presidente Prudente,2655691,76326244,9491
2012,São Paulo,Fartura,Assis,10099438,225347837,15367
2012,São Paulo,Fernandópolis,São José do Rio Preto,119279.00300000001,1369314293,65157
2012,São Paulo,Fernando Prestes,Ribeirão Preto,8826415,113329.06,5550
2012,São Paulo,Fernão,Marília,569482,26509.952999999998,1583
2012,São Paulo,Ferraz de Vasconcelos,Metropolitana de São Paulo,263107.82300000003,2474715006,172222
2012,São Paulo,Flora Rica,Presidente Prudente,441309,28507447,1688
2012,São Paulo,Floreal,São José do Rio Preto,1460624,51000.19,2970
2012,São Paulo,Flórida Paulista,Presidente Prudente,6329.6990000000005,165942508,13112
2012,São Paulo,Florínia,Assis,1582894,76388.57,2785
2012,São Paulo,Franca,Ribeirão Preto,824738814,6650296994,323307
2012,São Paulo,Francisco Morato,Metropolitana de São Paulo,67036333,1081424693,157603
2012,São Paulo,Franco da Rocha,Metropolitana de São Paulo,218223.03600000002,1946857696,135150
2012,São Paulo,Gabriel Monteiro,Araçatuba,1898255,42280.61,2706
2012,São Paulo,Gália,Marília,2682.77,96104625,6884
2012,São Paulo,Garça,Marília,77704658,858995031,43108
2012,São Paulo,Gastão Vidigal,São José do Rio Preto,1639114,46790.969000000005,4285
2012,São Paulo,Gavião Peixoto,Araraquara,10863.833999999999,87020605,4464
2012,São Paulo,General Salgado,São José do Rio Preto,15433975,222242975,10646
2012,São Paulo,Getulina,Bauru,4276.717000000001,136270855,10825
2012,São Paulo,Glicério,Araçatuba,2899796,77791.73700000001,4586
2012,São Paulo,Guaiçara,Bauru,7615665,128146543,10891
2012,São Paulo,Guaimbê,Bauru,2086391,44989306,5458
2012,São Paulo,Guaíra,Ribeirão Preto,107302854,1202021126,37826
2012,São Paulo,Guapiaçu,São José do Rio Preto,18768208,288442164,18441
2012,São Paulo,Guapiara,Itapetininga,8375826,199846955,17738
2012,São Paulo,Guará,Ribeirão Preto,33651926,402649.43799999997,20001
2012,São Paulo,Guaraçaí,Araçatuba,6032.736999999999,188435313,8366
2012,São Paulo,Guaraci,São José do Rio Preto,21264263,203889197,10147
2012,São Paulo,Guarani d'Oeste,São José do Rio Preto,590.39,24565.21,1965
2012,São Paulo,Guarantã,Bauru,6232.548000000001,86140254,6417
2012,São Paulo,Guararapes,Araçatuba,48854515,693231406,30862
2012,São Paulo,Guararema,Metropolitana de São Paulo,160568584,1195354.6840000001,26439
2012,São Paulo,Guaratinguetá,Vale do Paraíba Paulista,577540387,3427505405,113258
2012,São Paulo,Guareí,Itapetininga,7862.869000000001,168488982,15225
2012,São Paulo,Guariba,Ribeirão Preto,52156628,653832238,36151
2012,São Paulo,Guarujá,Metropolitana de São Paulo,748542.0340000001,5671910821,294669
2012,São Paulo,Guarulhos,Metropolitana de São Paulo,7103456502,42426240826,1244518
2012,São Paulo,Guatapará,Ribeirão Preto,6571.335999999999,134741.89,7056
2012,São Paulo,Guzolândia,São José do Rio Preto,1709385,48275427,4824
2012,São Paulo,Herculândia,Marília,10698.08,163594525,8803
2012,São Paulo,Holambra,Campinas,44070.804000000004,502398876,11917
2012,São Paulo,Hortolândia,Campinas,1854781688,8259608945,198758
2012,São Paulo,Iacanga,Bauru,23670515,289449855,10275
2012,São Paulo,Iacri,Marília,3100.7790000000005,108268448,6365
2012,São Paulo,Iaras,Bauru,4841073,65149011,6878
2012,São Paulo,Ibaté,Araraquara,37890179,481903258,31380
2012,São Paulo,Ibirá,São José do Rio Preto,8861835,156180.24300000002,11115
2012,São Paulo,Ibirarema,Assis,8518152,126177239,6880
2012,São Paulo,Ibitinga,Araraquara,100774513,1072960203,54146
2012,São Paulo,Ibiúna,Macro Metropolitana Paulista,82704605,1030388305,72249
2012,São Paulo,Icém,São José do Rio Preto,4732379,127851035,7567
2012,São Paulo,Iepê,Assis,3066785,145525837,7685
2012,São Paulo,Igaraçu do Tietê,Bauru,12893214,210971.79100000003,23475
2012,São Paulo,Igarapava,Ribeirão Preto,51612.905999999995,658897339,28259
2012,São Paulo,Igaratá,Vale do Paraíba Paulista,11612025,121705936,8913
2012,São Paulo,Iguape,Litoral Sul Paulista,21068.242000000002,1123169.4170000001,29055
2012,São Paulo,Ilhabela,Vale do Paraíba Paulista,34169459,1156934.4679999999,29308
2012,São Paulo,Ilha Comprida,Litoral Sul Paulista,12095343,1399076.0780000002,9376
2012,São Paulo,Ilha Solteira,Araçatuba,26107.597999999998,440603.24700000003,25226
2012,São Paulo,Indaiatuba,Campinas,2032390199,9224057.42,209859
2012,São Paulo,Indiana,Presidente Prudente,1693.1170000000002,43869.399000000005,4809
2012,São Paulo,Indiaporã,São José do Rio Preto,1489.12,57774195,3880
2012,São Paulo,Inúbia Paulista,Presidente Prudente,11147107,97555523,3678
2012,São Paulo,Ipaussu,Assis,20641.54,265446044,13831
2012,São Paulo,Iperó,Macro Metropolitana Paulista,54052.58,363624552,29798
2012,São Paulo,Ipeúna,Piracicaba,24986036,202777298,6270
2012,São Paulo,Ipiguá,São José do Rio Preto,4220.1,50937.99,4613
2012,São Paulo,Iporanga,Itapetininga,793015,28763.27,4260
2012,São Paulo,Ipuã,Ribeirão Preto,15111601,273213.62899999996,14492
2012,São Paulo,Iracemápolis,Piracicaba,70435.70599999999,489413532,20705
2012,São Paulo,Irapuã,São José do Rio Preto,2008829,88320.42199999999,7369
2012,São Paulo,Irapuru,Presidente Prudente,2069.05,66967379,7840
2012,São Paulo,Itaberá,Itapetininga,-2653.23,297216447,17699
2012,São Paulo,Itaí,Bauru,21773123,387808102,24457
2012,São Paulo,Itajobi,São José do Rio Preto,14528.893999999998,299094396,14606
2012,São Paulo,Itaju,Bauru,2340.9139999999998,52710443,3338
2012,São Paulo,Itanhaém,Litoral Sul Paulista,72380656,1099045012,89332
2012,São Paulo,Itaóca,Itapetininga,1097005,25739199,3229
2012,São Paulo,Itapecerica da Serra,Metropolitana de São Paulo,303680738,2635127425,156077
2012,São Paulo,Itapetininga,Itapetininga,346509.06799999997,3124119.9639999997,147219
2012,São Paulo,Itapeva,Itapetininga,110621133,1498082775,88491
2012,São Paulo,Itapevi,Metropolitana de São Paulo,1198888.0729999999,7088168765,206558
2012,São Paulo,Itapira,Campinas,320332097,2401818524,69317
2012,São Paulo,Itapirapuã Paulista,Itapetininga,534966,25048.442000000003,3926
2012,São Paulo,Itápolis,Araraquara,111662901,1174685.5359999998,40399
2012,São Paulo,Itaporanga,Itapetininga,4251624,139873.68099999998,14579
2012,São Paulo,Itapuí,Bauru,58161773,422143037,12446
2012,São Paulo,Itapura,Araçatuba,1688376,67150.2,4436
2012,São Paulo,Itaquaquecetuba,Metropolitana de São Paulo,526056.83,4071384541,329144
2012,São Paulo,Itararé,Itapetininga,40491.922999999995,574374.2370000001,48143
2012,São Paulo,Itariri,Litoral Sul Paulista,5699626,129829284,15752
2012,São Paulo,Itatiba,Macro Metropolitana Paulista,653362456,3921298278,104533
2012,São Paulo,Itatinga,Bauru,14050.45,195148145,18446
2012,São Paulo,Itirapina,Piracicaba,42942245,278330.93100000004,15930
2012,São Paulo,Itirapuã,Ribeirão Preto,1235548,69487482,5990
2012,São Paulo,Itobi,Campinas,2066306,79038086,7559
2012,São Paulo,Itu,Macro Metropolitana Paulista,1109936308,6110210376,156983
2012,São Paulo,Itupeva,Macro Metropolitana Paulista,569042324,2772567043,47682
2012,São Paulo,Ituverava,Ribeirão Preto,70730268,857081527,39062
2012,São Paulo,Jaborandi,Ribeirão Preto,3376045,107168225,6618
2012,São Paulo,Jaboticabal,Ribeirão Preto,206647548,2014067815,72305
2012,São Paulo,Jacareí,Vale do Paraíba Paulista,1515098135,7652040785,214223
2012,São Paulo,Jaci,São José do Rio Preto,34090483,299934442,5890
2012,São Paulo,Jacupiranga,Litoral Sul Paulista,15769038,283796.12100000004,17234
2012,São Paulo,Jaguariúna,Campinas,1148629486,4166854042,46533
2012,São Paulo,Jales,São José do Rio Preto,72425506,917210813,47137
2012,São Paulo,Jambeiro,Vale do Paraíba Paulista,46288.609000000004,252750.93600000002,5554
2012,São Paulo,Jandira,Metropolitana de São Paulo,478414831,2414876859,110842
2012,São Paulo,Jardinópolis,Ribeirão Preto,58468205,685562.64,38708
2012,São Paulo,Jarinu,Macro Metropolitana Paulista,94436.98199999999,706948436,24875
2012,São Paulo,Jaú,Bauru,374525542,3219076348,133900
2012,São Paulo,Jeriquara,Ribeirão Preto,-29636,59612878,3142
2012,São Paulo,Joanópolis,Macro Metropolitana Paulista,6587.576999999999,128146278,11974
2012,São Paulo,João Ramalho,Presidente Prudente,2123315,104636618,4197
2012,São Paulo,José Bonifácio,São José do Rio Preto,71212.36,874485233,33375
2012,São Paulo,Júlio Mesquita,Bauru,1268062,34741.67,4470
2012,São Paulo,Jumirim,Piracicaba,7996.75,60654833,2889
2012,São Paulo,Jundiaí,Macro Metropolitana Paulista,5841495158,30683516054,377183
2012,São Paulo,Junqueirópolis,Presidente Prudente,30894949,354857.35799999995,18986
2012,São Paulo,Juquiá,Litoral Sul Paulista,11595.028999999999,242681544,19055
2012,São Paulo,Juquitiba,Metropolitana de São Paulo,35758535,353697165,29081
2012,São Paulo,Lagoinha,Vale do Paraíba Paulista,1558.12,40199284,4824
2012,São Paulo,Laranjal Paulista,Itapetininga,88470493,663833299,25721
2012,São Paulo,Lavínia,Araçatuba,2996074,115262.02900000001,9330
2012,São Paulo,Lavrinhas,Vale do Paraíba Paulista,11047248,91437.54,6678
2012,São Paulo,Leme,Piracicaba,266996109,2098799491,93417
2012,São Paulo,Lençóis Paulista,Bauru,222969.84699999998,1930841624,62393
2012,São Paulo,Limeira,Piracicaba,1414119.0119999999,9419353887,280096
2012,São Paulo,Lindóia,Campinas,7742642,95438.76199999999,6912
2012,São Paulo,Lins,Bauru,272964184,2619277725,72260
2012,São Paulo,Lorena,Vale do Paraíba Paulista,177175891,1558600965,83224
2012,São Paulo,Lourdes,Araçatuba,523045,29359295,2147
2012,São Paulo,Louveira,Macro Metropolitana Paulista,1600058247,7946164.477000001,39122
2012,São Paulo,Lucélia,Presidente Prudente,25197568,304058408,20119
2012,São Paulo,Lucianópolis,Bauru,884569,28272.077999999998,2264
2012,São Paulo,Luís Antônio,Ribeirão Preto,133109.31900000002,1035843078,11910
2012,São Paulo,Luiziânia,Araçatuba,1332737,53616.984000000004,5145
2012,São Paulo,Lupércio,Marília,295.89,48802832,4372
2012,São Paulo,Lutécia,Assis,497.30800000000005,59167151,2687
2012,São Paulo,Macatuba,Bauru,22844.21,318564309,16336
2012,São Paulo,Macaubal,São José do Rio Preto,7227.1140000000005,128757.19099999999,7705
2012,São Paulo,Macedônia,São José do Rio Preto,2361285,50064372,3650
2012,São Paulo,Magda,São José do Rio Preto,2226719,62800.217000000004,3167
2012,São Paulo,Mairinque,Macro Metropolitana Paulista,306721.73699999996,1559832.9919999999,43714
2012,São Paulo,Mairiporã,Metropolitana de São Paulo,172592.50100000002,1297546986,84104
2012,São Paulo,Manduri,Assis,7270776,99198601,9101
2012,São Paulo,Marabá Paulista,Presidente Prudente,3895276,107756.84300000001,4981
2012,São Paulo,Maracaí,Assis,33985.9,390161935,13382
2012,São Paulo,Marapoama,São José do Rio Preto,11613882,101583974,2693
2012,São Paulo,Mariápolis,Presidente Prudente,619355,36982025,3926
2012,São Paulo,Marília,Marília,626047936,5770066971,219664
2012,São Paulo,Marinópolis,São José do Rio Preto,459019,22167.398999999998,2101
2012,São Paulo,Martinópolis,Presidente Prudente,23104714,377795.24600000004,24502
2012,São Paulo,Matão,Araraquara,390355.61,2953976.2660000003,77546
2012,São Paulo,Mauá,Metropolitana de São Paulo,1712561.02,9295359845,425169
2012,São Paulo,Mendonça,São José do Rio Preto,15952415,166472066,4774
2012,São Paulo,Meridiano,São José do Rio Preto,13877.133999999998,123658.02699999999,3830
2012,São Paulo,Mesópolis,São José do Rio Preto,560.4169999999999,41363075,1880
2012,São Paulo,Miguelópolis,Ribeirão Preto,8786178,620247.4870000001,20668
2012,São Paulo,Mineiros do Tietê,Bauru,7790.67,121664.53300000001,12133
2012,São Paulo,Miracatu,Litoral Sul Paulista,20460264,315617.38899999997,20322
2012,São Paulo,Mira Estrela,São José do Rio Preto,1110.8980000000001,33967347,2854
2012,São Paulo,Mirandópolis,Araçatuba,37168.937999999995,464531295,27717
2012,São Paulo,Mirante do Paranapanema,Presidente Prudente,25603.168999999998,278193857,17187
2012,São Paulo,Mirassol,São José do Rio Preto,145490128,1254672.1840000001,54618
2012,São Paulo,Mirassolândia,São José do Rio Preto,1192139,60944.615999999995,4379
2012,São Paulo,Mococa,Campinas,129761.44,1414142061,66399
2012,São Paulo,Mogi das Cruzes,Metropolitana de São Paulo,1636317321,11146729537,396468
2012,São Paulo,Mogi Guaçu,Campinas,631131001,4432443693,139211
2012,São Paulo,Mogi Mirim,Campinas,1773379.4109999998,11927707976,87266
2012,São Paulo,Mombuca,Piracicaba,1901.0729999999999,55500.445999999996,3291
2012,São Paulo,Monções,São José do Rio Preto,7605866,75600837,2144
2012,São Paulo,Mongaguá,Litoral Sul Paulista,32547.398999999998,576832024,47984
2012,São Paulo,Monte Alegre do Sul,Campinas,12969133,151647865,7278
2012,São Paulo,Monte Alto,Ribeirão Preto,181603073,1308173.7040000001,47100
